AOA,Beta,d_e,d_a,d_r,p,q,r,Cx,Cy,Cz,Cl,Cm,Cn
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00,-1.1599999999999999e+00,-8.7300000000000000e-01, 1.2066463771503895e-01, 1.1614610037339966e-01, 1.3272714359991158e+00, 3.9256010147039049e-02, 7.2403796968288259e-01,-4.3280749000638732e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00,-1.1599999999999999e+00, 0.0000000000000000e+00, 1.2875967807773731e-01, 1.5958590106616860e-01, 1.3109408856752103e+00, 3.0529282516780613e-02, 7.1491783713550194e-01,-6.4006566114026844e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00, 1.1599999999999999e+00, 0.0000000000000000e+00, 4.2092308574542422e-02, 4.3254007242428713e-02, 1.0829733338799261e+00, 1.0264501150860436e-02, 4.2662752645725727e-01,-1.0609815403913375e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00, 1.1599999999999999e+00, 8.7300000000000000e-01, 5.0135430913287010e-02, 7.9494026986272490e-02, 1.0767417820219747e+00, 2.2932759735683787e-03, 4.2966505621020284e-01,-2.7996147073625629e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00,-1.1599999999999999e+00, 0.0000000000000000e+00, 1.8865062358078385e-01, 2.4616041350335399e-01, 1.3665950534283333e+00, 1.5909379258831322e-01, 8.0772831659822519e-01,-1.1315011370373568e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00,-1.1599999999999999e+00, 8.7300000000000000e-01, 2.0475537181819062e-01, 2.9421586906325958e-01, 1.3439646288252782e+00, 1.5096996771248400e-01, 7.9461018442646769e-01,-1.3586673513698852e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00, 1.1599999999999999e+00, 0.0000000000000000e+00, 1.2109685676315059e-01, 2.3322737993035292e-01, 1.0872874157575643e+00, 1.4894157810820904e-01, 4.4052373102914771e-01,-1.0983503774462600e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00, 1.1599999999999999e+00, 8.7300000000000000e-01, 1.3581351912748438e-01, 2.7749332631953050e-01, 1.0630356614921737e+00, 1.4183019728546950e-01, 4.2549993648605383e-01,-1.3111179925152044e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00, 1.1599999999999999e+00, 8.7300000000000000e-01, 6.5638980125780219e-02, 2.8706405337423505e-03, 1.1185213634128004e+00,-1.1601123183190773e-01, 3.9010221636238007e-01, 1.4392719899234916e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00,-1.1599999999999999e+00,-8.7300000000000000e-01, 1.7444732446552458e-01, 1.9962372738891995e-01, 1.3908765210034966e+00, 1.6787963520924545e-01, 8.2145046547049105e-01,-9.1141521848339402e-02
